StateID,StateName,DistrictID,DistrictCensusCode2011,DistrictName,IHHLTotalAsPerDetails,IHHLTotalAch,IHHLCoveragePer,Date
26,"A & N Islands",578,639,"NORTH AND MIDDLE ANDAMAN",18187,18187,100.00,"10/8/2024 12:00:00 AM"
26,"A & N Islands",576,640,"SOUTH ANDAMANS",17208,17208,100.00,"10/8/2024 12:00:00 AM"
1,"Andhra Pradesh",1368,813,ANNAMAYYA,252568,252568,100.00,"10/8/2024 12:00:00 AM"
1,"Andhra Pradesh",8,550,NELLORE,332512,332512,100.00,"10/8/2024 12:00:00 AM"
1,"Andhra Pradesh",1375,811,PALNADU,341396,341396,100.00,"10/8/2024 12:00:00 AM"
1,"Andhra Pradesh",1378,812,TIRUPATI,296718,296718,100.00,"10/8/2024 12:00:00 AM"
2,"Arunachal Pradesh",29,260,ANJAW,4879,4879,100.00,"10/8/2024 12:00:00 AM"
2,"Arunachal Pradesh",17,251,"EAST SIANG",6428,6428,100.00,"10/8/2024 12:00:00 AM"
2,"Arunachal Pradesh",759,778,KAMLE,4643,4643,100.00,"10/8/2024 12:00:00 AM"
2,"Arunachal Pradesh",762,785,"SHI YOMI",2290,2290,100.00,"10/8/2024 12:00:00 AM"
3,Assam,30,303,BARPETA,267775,267775,100.00,"10/8/2024 12:00:00 AM"
3,Assam,34,308,DHEMAJI,137916,137916,100.00,"10/8/2024 12:00:00 AM"
3,Assam,36,310,DIBRUGARH,209315,209315,100.00,"10/8/2024 12:00:00 AM"
3,Assam,741,757,HOJAI,108442,108442,100.00,"10/8/2024 12:00:00 AM"
3,Assam,42,314,"KARBI ANGLONG",93003,93003,100.00,"10/8/2024 12:00:00 AM"
3,Assam,43,317,KARIMGANJ,188180,188180,100.00,"10/8/2024 12:00:00 AM"
3,Assam,45,307,LAKHIMPUR,190303,190303,100.00,"10/8/2024 12:00:00 AM"
4,Bihar,64,232,BUXAR,243979,243979,100.00,"10/8/2024 12:00:00 AM"
4,Bihar,74,210,KISHANGANJ,247344,247344,100.00,"10/8/2024 12:00:00 AM"
4,Bihar,75,227,LAKHISARAI,140257,140257,100.00,"10/8/2024 12:00:00 AM"
4,Bihar,77,207,MADHUBANI,638205,638205,100.00,"10/8/2024 12:00:00 AM"
4,Bihar,85,214,SAHARSA,277846,277846,100.00,"10/8/2024 12:00:00 AM"
