,State,Number Of Factories,Fixed Capital,Working Capital,Invested Capital,Outstanding Loans,Number of Workers,Total Persons Engaged,Wages to Workers,Total Emolumnets,Prov. Fund and Other Welfare Exp.,Fuels Consumed,Materials Consumed,Total Inputs,Products & By-products,Value of Output,Depreciation,Net Value Added,Rent Paid,Interest Paid,Rent Received,Interest Received,Net Income,Net Fixed Capital Formation,Gross Fixed Capital Formation,"(a) Materials,Fuels etc.",(b) Semi-Finished Goods,(c) Finished Goods,(d) Total,Gross Capital Formation,Net Profit
0,Andaman & N. Island,14,1529,88,3137,1560,146,192,302,502,49,213,1879,2870,2742,3535,166,498,1,204,0,1,293,-106,60,-223,0,38,-185,-125,-258
1,Andhra Pradesh,16483,22523108,5715757,31864439,8330200,571376,695020,1342053,2328018,318592,3058468,42608332,52317308,56134424,61386723,1655426,7413989,22767,934672,1111,132737,6456550,1044155,2699581,-386651,137823,502236,253408,2952989,3809939
2,Arunachal Pradesh,198,50340,27286,73615,10499,3200,4341,3324,9011,354,13542,83413,109211,133768,139955,5515,25229,535,1989,9,377,22705,3856,9371,3832,-199,1006,4638,14010,13340
3,Assam,5712,4345796,1391994,6032262,1136906,204416,258320,243818,480103,59597,415163,9571262,11604384,13706230,14419576,303073,2512119,6799,70047,180,16937,2435273,622623,925696,6901,-9677,188652,185876,1111572,1895572
4,Bihar,3307,3195023,628305,4305482,858654,114949,135464,158093,264020,24616,225245,10069570,12654566,12991253,14253608,159634,1439408,4128,65498,13,9859,1369782,1083709,1243343,10172,3932,74877,88981,1332324,1081146
5,Chandigarh,229,143136,90655,218992,39539,5835,9010,13948,38249,4401,7110,233351,360657,318971,442414,10859,70898,36,5395,0,1848,65466,-418,10441,3187,2410,2051,7648,18090,22816
6,Chattisgarh,4717,10179155,272773,14093434,2743396,241883,294845,566647,1022773,124919,2586017,20044503,27225078,26970287,31225801,762881,3237842,20887,420809,523,227646,2796146,368646,1131527,267586,76519,290458,634563,1766090,1648453
7,Dadra & N Haveli & Daman & Diu,2783,3960369,3580399,6653360,2969770,223341,271246,407005,837277,70159,678406,15815036,17977285,20113196,21090004,355028,2757690,1625,225704,530,68103,2530362,236849,591878,14289,-71221,51199,-5733,586144,1622926
8,Delhi,3063,807078,772265,1429326,519046,71174,102492,161530,375345,37901,151168,2482090,4673073,3199250,5347875,74202,600600,1825,64274,2589,16192,534501,103614,177816,22594,-66593,-17819,-61818,115998,121256
9,Goa,694,1498845,1549225,2680577,357983,63134,87898,164432,444397,57590,217937,4252578,5246630,6291713,6910542,146529,1517383,3516,48410,370,20274,1465456,208646,355175,95802,11804,81966,189572,544746,963470
10,Gujarat,31031,80968475,23507187,114751398,23807832,1801900,2334636,3717212,8273334,786304,10441427,184081122,224291697,233627075,256773305,5125115,27356493,60082,3244799,206886,843110,24051612,5620486,10745601,884089,72781,804789,1761660,12507261,14991974
