,State,District,Grade,Overall,Categories - 1.Outcome (290),Categories - 2. ECT (90),Categories - 3. IF&SE (51),Categories - 4. SS&CP (35),"Categories - 5. DL
(50)","Categories - 6. GP
(84)"
0,Andaman & Nicobar Islands,South Andamans,Prachesta-1,328.0,128.0,70.0,32.0,24.0,25.0,48.0
1,Andaman & Nicobar Islands,Middle And North Andamans,Prachesta-1,319.0,134.0,70.0,31.0,26.0,17.0,41.0
2,Andaman & Nicobar Islands,Nicobars,Prachesta-2,,,,,,,
3,Andhra Pradesh,Guntur,Prachesta-1,344.0,123.0,63.0,43.0,25.0,24.0,65.0
4,Andhra Pradesh,Visakhapatnam,Prachesta-1,343.0,120.0,64.0,44.0,25.0,28.0,61.0
5,Andhra Pradesh,East Godavari,Prachesta-1,340.0,123.0,64.0,43.0,23.0,24.0,64.0
6,Andhra Pradesh,Anakapalli,Prachesta-1,340.0,123.0,63.0,44.0,24.0,21.0,65.0
7,Andhra Pradesh,Vizianagaram,Prachesta-1,,,,,,,
8,Andhra Pradesh,Palnadu,Prachesta-1,339.0,120.0,63.0,43.0,26.0,23.0,64.0
9,Andhra Pradesh,"Parvathipuram
Manyam",Prachesta-1,337.0,123.0,62.0,42.0,29.0,18.0,64.0
10,Andhra Pradesh,NTR,Prachesta-1,,,,,,,
11,Andhra Pradesh,Alluri Sitharama Raju,Prachesta-1,336.0,124.0,60.0,40.0,30.0,16.0,67.0
12,Andhra Pradesh,Kakinada,Prachesta-1,335.0,117.0,63.0,43.0,25.0,23.0,64.0
13,Andhra Pradesh,Bapatla,Prachesta-1,333.0,123.0,60.0,43.0,25.0,19.0,63.0
14,Andhra Pradesh,West Godavari,Prachesta-1,331.0,114.0,61.0,44.0,24.0,22.0,65.0
15,Andhra Pradesh,Krishna,Prachesta-1,330.0,111.0,63.0,44.0,25.0,22.0,66.0
16,Andhra Pradesh,Srikakulam,Prachesta-1,329.0,116.0,61.0,44.0,25.0,18.0,66.0
17,Andhra Pradesh,Tirupati,Prachesta-1,329.0,116.0,61.0,42.0,26.0,21.0,63.0
18,Andhra Pradesh,"Sri Potti Sriramulu
Nellore",Prachesta-1,327.0,113.0,61.0,43.0,25.0,20.0,64.0
19,Andhra Pradesh,Chittoor,Prachesta-1,326.0,115.0,62.0,42.0,24.0,19.0,64.0
20,Andhra Pradesh,YSR Kadapa,Prachesta-1,323.0,115.0,60.0,42.0,24.0,21.0,61.0
21,Andhra Pradesh,"Dr. B.R. Ambedkar
Konaseema",Prachesta-1,323.0,117.0,60.0,39.0,24.0,18.0,64.0
22,Andhra Pradesh,Prakasam,Prachesta-1,322.0,112.0,60.0,45.0,23.0,20.0,62.0
23,Andhra Pradesh,Annamayya,Prachesta-1,,,,,,,
24,Andhra Pradesh,Sri Sathyasai,Prachesta-1,319.0,107.0,62.0,43.0,24.0,20.0,64.0
25,Andhra Pradesh,Eluru,Prachesta-1,318.0,108.0,61.0,43.0,22.0,20.0,63.0
26,Andhra Pradesh,Ananthapuramu,Prachesta-1,317.0,105.0,63.0,43.0,23.0,22.0,62.0
27,Andhra Pradesh,Nandyal,Prachesta-1,309.0,103.0,60.0,40.0,23.0,21.0,62.0
28,Andhra Pradesh,Kurnool,Prachesta-1,303.0,99.0,61.0,40.0,22.0,21.0,61.0
29,Arunachal Pradesh,Lower Subansiri,Prachesta-2,250.0,106.0,41.0,33.0,15.0,14.0,41.0
30,Arunachal Pradesh,East Siang,Prachesta-3,,,,,,,
31,Arunachal Pradesh,Itanagar Capital Complex,Prachesta-3,,,,,,,
32,Arunachal Pradesh,Upper Siang,Prachesta-3,214.0,108.0,28.0,24.0,5.0,7.0,41.0
33,Arunachal Pradesh,"Lower Dibang
Valley",Prachesta-3,,,,,,,
34,Arunachal Pradesh,Anjaw,Prachesta-3,210.0,103.0,27.0,26.0,4.0,4.0,47.0
35,Arunachal Pradesh,Lepa Rada,Prachesta-3,209.0,93.0,29.0,22.0,5.0,13.0,47.0
36,Arunachal Pradesh,Lohit,Prachesta-3,205.0,93.0,41.0,28.0,5.0,9.0,29.0
37,Arunachal Pradesh,Tirap,Prachesta-3,203.0,89.0,32.0,27.0,6.0,10.0,40.0
38,Arunachal Pradesh,West Kameng,Prachesta-3,203.0,90.0,33.0,19.0,8.0,14.0,38.0
39,Arunachal Pradesh,Namsai,Prachesta-3,,,,,,,
40,Arunachal Pradesh,Tawang,Prachesta-3,196.0,99.0,39.0,21.0,6.0,13.0,17.0
41,Arunachal Pradesh,Lower Siang,Prachesta-3,195.0,82.0,33.0,26.0,8.0,6.0,41.0
42,Arunachal Pradesh,East Kameng,Prachesta-3,192.0,81.0,34.0,28.0,6.0,9.0,34.0
43,Arunachal Pradesh,Dibang Valley,Prachesta-3,190.0,97.0,33.0,31.0,7.0,6.0,15.0
44,Arunachal Pradesh,Changlang,Prachesta-3,190.0,80.0,35.0,28.0,6.0,7.0,33.0
45,Arunachal Pradesh,Papum Pare,Prachesta-3,187.0,103.0,19.0,25.0,1.0,8.0,31.0
